Title,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
Girardin Père et Fils Puligny-Montrachet Vieilles Vignes 2017,"This is Burgundy at its best. Labelled 'Vieilles Vignes', this wine comes from old vines that are more than 65 years old. In the cellar, there is minimal intervention to bring out the best of this great vintage. Expect mineral notes with a well-balanced acidity. Wonderful with creamy chicken.",£64.99 per bottle,75CL,Chardonnay,,Natural Cork,France,9.8,"Vanilla, Bread, Cream, Stone Fruit",per bottle,White,ABV 13.00%,Burgundy,Rich & Toasty,2017,Puligny-Montrachet
"Girardin Père et Fils Santenay 'Vieilles Vignes' Rouge 2018/19, Burgundy","This Pinot Noir is made from 45-year-old vines in Santenay, the village in which the founder of the winery, Vincent Girardin, was born. Aged in oak for 14 months on character-building lees, the 'Vieilles Vignes' is exceptionally well structured, with notes of strawberry and plum chased by a long, smooth finish.",£28.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,9.8,"Sweet Spice, Earth, Raspberry, Red Cherry, Strawberry",per bottle,Red,ABV 13.00%,Burgundy,Light & Elegant,2019,Santenay
"Goldwater Sauvignon Blanc 2022, Wairau Valley","Founded in 1978, Goldwater is among the oldest wine producers in New Zealand. Chief winemaker Stu Marfell entered the wine trade when he took part in his first harvest aged only eight years old – and today, he’s known as a pioneer across the entire industry. This is an excellent demonstration of his skill and passion for Marlborough wines. It’s made with grapes from the Wairau Valley, an area famed for its intensely aromatic, lively Sauvignon. The grapes are harvested during the early morning hours to preserve their mouth-watering acidity, and five months of lees ageing adds fantastic texture and complexity. Expect notes of freshly squeezed lemon, grapefruit, guava and a hint of salty sea air. Partner its crisp flavours with fresh white-fish dishes.",£13.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,9.8,"Tropical Fruit, Gooseberry, Grapefruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,ABV 13.00%,Marlborough,Crisp & Zesty,2022,Wairau Valley
Gonzalez Byass 'Tio Pepe' Fino Sherry,"Sherry has run through the veins of five generations of the Gonzalez family. The journey began in 1835 with Manuel Maria Gonzalez Angel. His legacy to Sherry? A bodega now packed with barrels in every corner. Tio Pepe was named in honour of Manuel’s uncle, after he discovered barrels of a delicious pale, dry style of sherry that Pepe had made. It's now the world’s best-selling Fino – and for very good reason. It’s deeply refreshing with notes of green apple and toasted almond and a hint of saltiness on the crisp, dry finish. Serve straight from the fridge with classic tapas nibbles, like Manchego cheese, olives and salted almonds.",£13.99 per bottle,75CL,Palomino,,Natural Cork,Spain,11.3,"Green Apple, Almond, Biscuit",per bottle,White,ABV 15.00%,,,NV,
Grattamacco Organic Bolgheri Rosso DOC 2020/21,"The Grattamacco estate was founded in Bolgheri in 1977. It was part of the 'Super Tuscan' movement that experimented with blending non-indigenous grapes with Sangiovese. Today, Super Tuscans are some of the most in-demand wines in the world. The team at this estate have been continuously improving the Rosso over more than 38 years – and their expertise really shows. This blend of Cabernet Sauvignon, Cabernet Franc, Merlot and Sangiovese is remarkably drinkable in its youth. It’s a dense, powerful wine with ripe tannins, aromas of dark fruits and chocolate and an excellent structure. Pair it with a hearty Tuscan stew.",£24.99 per bottle,75CL,Cabernet Sauvignon,"Sangiovese, Cabernet Franc, Merlot",Natural Cork,Italy,10.9,"Spice, Black Fruit, Herbaceous",per bottle,Red,ABV 14.50%,Tuscany,Savoury & Full Bodied,2020,Bolgheri
"Greywacke Pinot Gris 2020/21, Marlborough","Kevin Judd was a founding member of the iconic Cloudy Bay winery. He played a large part in putting Marlborough on the wine world map. Today, Greywacke is his passion project. It's his opportunity to make something slightly different to what you might expect from the region. This is a ripe, opulent Pinot Gris made in the off-dry style. It has flavours of pear, honey, quince, almond and candied lemon that are best with lightly spiced Thai foods.",£31.99 per bottle,75CL,Pinot Gris,,Screwcap,New Zealand,10.9,"Quince, Cooked Fruit, Fig, Pear",per bottle,White,ABV 14.50%,Marlborough,Ripe & Rounded,2020,
"Hamilton Russell Vineyards Chardonnay 2020/21, Hemel-en-Aarde","Hamilton Russell Vineyards boasts a lot of superlatives. They’re one of the most southerly vineyards in Africa. They were pioneers in now-celebrated Hemel-en-Aarde Valley, producing the first vintage back in 1981. And they’re one of South Africa’s finest wineries, often compared to the finest of Burgundy. Thanks to their southerly spot, they have a cool climate that's perfect for Chardonnay and Pinot Noir. They keep yields small on the vineyard, and intense demand keeps these elegant estate-grown wines in short supply. When you taste this Chardonnay, you'll see what the fuss is about. It has prominent pear and lime notes, bright natural acidity, a hint of oak and a refreshing minerality. It's textured, intense and certainly not lacking personality. Try it with a mushroom risotto or roasted chicken. Tim Atkin MW gave the 2020 vintage 96 points.",£39.99 per bottle,75CL,Chardonnay,,Natural Cork,South Africa,10.1,,per bottle,White,ABV 13.50%,Walker Bay,Rich & Toasty,2021,
"Hanna Chardonnay 2018/19, Sonoma County","In 1985 world-famous cardiac surgeon Dr. Elias Hanna founded the Hanna winery. He quickly became an iconic winemaker. And his daughter, Christine, today leads the way with this complex, elegant Chardonnay. Expect notes of tropical fruit, caramel and vanilla. Serve this at 10-13 degrees with roast chicken.",£27.99 per bottle,75CL,Chardonnay,,Natural Cork,USA,10.9,"Vanilla, Apricot, Green Apple, Green Fruit, Peach, Stone Fruit, Tropical Fruit",per bottle,White,ABV 14.50%,California,Rich & Toasty,2019,Sonoma
Henri de Villamont 'Les Groseilles' Chambolle-Musigny Premier Cru 2014/18,"From their 18th century cellars to their long-serving team, tradition is everything at Henri de Villamont. They have fantastic relationships with local grape-growers. So their wines are made from some of the Côte de Nuits' most coveted vineyards. This is made from grapes from the tiny Chambolle-Musigny appelation. It's full-bodied and smooth, with notes of raspberries, strawberries and violets. Drink now at room temperature with strong cheeses.",£74.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,9.8,"Strawberry, Dried Herbs, Raspberry, Savoury",per bottle,Red,ABV 13.00%,Burgundy,Light & Elegant,2018,Chambolle-Musigny
Henriques and Henriques 3 Year Old Full Rich Madeira 50cl,"This classic Madeira undergoes the unique Estufa process where the wine is repeatedly warmed than cooled for 90 days making the wine stable before it three years of cask ageing. Lucious, rich, sweet and fragrant this is full of intense flavours of dried fruit and caramel. Try this on it own, or with a classic Madeira cake.",£13.99 per bottle,50CL,Touriga Nacional,,Natural Cork,Portugal,9.5,"Toffee, Caramel, Dried Fruit",per bottle,Red,ABV 19.00%,,,NV,
"J Vineyards 'J Cuvée 20 Brut', Russian River Valley","J Vineyards was founded in Sonoma's cool climate Russian River by Judy Jordan in 1994. It is today headed by talented winemaker Nicole Hitchcock, who continues to roll out world-class wines. Expect a rich mousse and complex palate of lemon meringue, ripe apple and ginger.",£29.99 per bottle,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,USA,9.4,"Red Apple, Almond, Cream, Ginger, Lemon",per bottle,White,ABV 12.50%,California,Crisp & Fruity,NV,
"Paul Jaboulet Aîné Syrah, 2019/21, France","100% Syrah from vineyards in the Rhône Valley and the Languedoc. Sourcing the grapes from across a range of terroirs allows Jaboulet to create a well-balanced wine with consistent quality. It is matured without oak to maintain a supple and fruit-driven style. Medium-bodied with a fresh, juicy feel, this wine offers the classic Syrah characters of blackcurrant and liquorice, with subtle aromas of wild shrubs and pepper. Perfect accompaniment for herb-rubbed lamb chops, preferably char grilled.",£11.99 per bottle,75CL,Syrah,,Natural Cork,France,10.5,"White Pepper, Black Cherry, Black Plum, Blackberry, Smoke, Spice",per bottle,Red,ABV 14.00%,Rhône,Bold & Spicy,2021,
Jomain Frères Bourgogne Blanc 2019/20,"The Jomain family is known for its delicious Puligny-Montrachet. But it also makes great value white Burgundy with vines owned by a family friend. Once the Chardonnay grapes are picked by hand and pampered by the same fine treatment, the wine is aged in both steel and oak for a total of 12 months. The result is soft, dry and emits smooth hints of lychee and pear that are lined by a refreshing acidity.",£16.99 per bottle,75CL,Chardonnay,,Natural Cork,France,10.9,"Peach, Cream, Green Apple, Lemon",per bottle,White,ABV 14.50%,Burgundy,Ripe & Rounded,2020,
"Kangarilla Road Chardonnay 2020/21, Adelaide Hills","Kangarilla Road is a Majestic classic. It's made by the acclaimed winemaker Kevin O'Brien, mainly from cool-climate Adelaide Hills vineyards. It's treated to a light use of oak, making it sleek and minerally-fresh. It truly showcases the best of modern Australian winemaking. It's elegant with notes of lemon sherbet, melon, pear and nectarine. Try it with a creamy chicken dish.",£13.99 per bottle,75CL,Chardonnay,,Screwcap,Australia,9.8,"Vanilla, Butter, Green Apple, Lemon, Peach",per bottle,White,ABV 13.00%,South Australia,Ripe & Rounded,2021,Adelaide Hills
"Kangarilla Road Shiraz 2020/21, McLaren Vale","In 1997, the O’Brien family purchased an old vineyard in the heart of McLaren Vale. They soon discovered that its ancient geology was perfect for nurturing complex and full-bodied Shiraz. The critics agree: Australia's leading wine critic, James Halliday, gave the winery the top Five Red Star rating. After just a sip of this wine, you'll see why. Packed with black fruits, dark chocolate and a creamy texture, it's a perfect pairing for beef short ribs.",£14.99 per bottle,75CL,Shiraz,,Screwcap,Australia,10.9,"Vanilla, Black Cherry, Black Plum, Blackberry, Blackcurrant, Chocolate, Raspberry, Tobacco",per bottle,Red,ABV 14.50%,South Australia,Bold & Spicy,2021,Mclaren Vale
"Kanonkop ‘Paul Sauer’ 2018/19, Stellenbosch","Kanonkop is named after a kopje (hillock) in the nearby Simonsberg mountains. But there is more than pretty landscapes to mark this Stellenbosch winery out as special. In the 1970s, Paul Sauer noted the site’s suitability for grape-growing and planted vineyards on the granite soils to great success. Now, Kanonkop’s flagship bottling – a Bordeaux-style blend of Cabernet Sauvignon, Merlot and Cabernet Franc – is one of South Africa’s most prestigious wines. Expect complex notes of blackcurrant, wildflowers and cigar box. Enjoy it with prime rib.",£53.99 per bottle,75CL,Cabernet Sauvignon,"Cabernet Franc, Merlot",Natural Cork,South Africa,10.9,"Black Fruit, Blackberry, Blackcurrant, Cigar Box, Earth, Leather, Tobacco",per bottle,Red,ABV 14.50%,Stellenbosch,Savoury & Full Bodied,2019,
"Katie Jones 'L'Histoire' 2019, Fitou","Many years ago, Katie Jones moved from the UK to live and work in France's Languedoc region. But it wasn't until 2008 when she took the plunge and bought her first vineyard. Several vintages later, and Domaine Jones is producing exceptional wines, and racking up several awards along the way. L'Histoire has notes of wild berries, rosemary and thyme, and an elegant structure. Partner this characterful red with slow-roasted lamb rubbed with rosemary and garlic.",£11.99 per bottle,75CL,Carignan,,Natural Cork,France,10.5,"Black Fruit, Blackberry, Rose",per bottle,Red,ABV 14.00%,Languedoc-Roussillon,Bold & Spicy,2019,Fitou
"Kraal Bay Pinotage 2018, Swartland","An expressive style of Pinotage, the Kraal Bay has a bold fruit character and supple tannins. Pair its notes of red cherries, ripe plum and hints of spice with hearty red-meat dishes.",£10.99 per bottle,75CL,Pinotage,,Screwcap,South Africa,10.5,"Smoke, Black Cherry, Black Pepper, Blackberry",per bottle,Red,ABV 14.00%,Swartland,Savoury & Full Bodied,2018,
Kutch Sonoma Coast Chardonnay 2018,"Jamie Goode 94 Points 12.5% alcohol. Beautiful stuff, combining sweet ripe pear and apple fruit with some lively grapefruit freshness, and also a subtly smoky, mineral twist. There's good acidity here, and a slightly bitter twist that offsets the fruit nicely. Complex and beguiling with concentration, balance and finesse. The fruit profile hints at California, but the acid structure and poise is very European. I really like it, and it should age really well.Doesn't seem to be as overtly reductive as the two previous Kutch Chardonnays. 94/100",£56.00 per bottle,75CL,Chardonnay,,Natural Cork,USA,9.8,"Wet Stones, Citrus Fruit, Grapefruit, Green Apple, Peach, Vanilla",per bottle,White,ABV 13.00%,California,Rich & Toasty,2018,Sonoma
"La Belle Angele Sauvignon Blanc Boxed Wine 2.25L, 2020, France","This easy-drinking box is a demonstration of everything great about French Sauvignon, as well as being a fantastic party piece. Although Vin de France is the least regulated style of French wine, it’s often overlooked. There are gems to be found in lesser-known areas such as Gascony or the Aude. This wine blends grapes from both regions. Crisp and refreshing, bursting with notes of citrus, apple and gooseberry. Delicious with creamy cheeses, like camembert.",£24.99 each,2.25L,Sauvignon Blanc,,,France,0,"Gooseberry, Green Apple, Pear",each,White,ABV 11.50%,Languedoc-Roussillon,Crisp & Zesty,2020,
La Màgia Organic Brunello di Montalcino DOCG 2016/17,"This Brunello has an excellent balance of power, structure and elegance. It was aged for three years in oak on the La Màgia estate, which was orginally a resting place for wayfarers on an old Roman road. Expect notes of red berries, mineral overtones, delicate hints of spice, a balancing acidity, smooth tannins and a long finish.",£39.99 per bottle,75CL,Sangiovese,,Natural Cork,Italy,11.3,"Spice, Black Fruit, Herbaceous",per bottle,Red,ABV 15.00%,Tuscany,Savoury & Full Bodied,2017,Brunello Di Montalcino
La Réserve de Léoville-Barton St-Julien 2018/19,"From the gravelly dunes of Léoville-Barton's vineyards, leading down to the bank of the Gironde, La Réserve is the second wine of this famous property. As an earlier drinking version of the grand vin, this is real value for money. With a classic 'left bank' nose of smoky blackberry fruit and pencil lead, the palate is rich and rounded with assertive tannins, ample fruit and well integrated oak. Serve with shoulder of lamb braised in wine. Drinking well at the moment, but will keep for another 5 or so years.",£42.99 per bottle,75CL,Cabernet Sauvignon,"Merlot, Cabernet Franc",Natural Cork,France,10.5,"Cedar, Blackberry, Blackcurrant",per bottle,Red,ABV 14.00%,Bordeaux,Savoury & Full Bodied,2019,Saint-Julien
La Rioja Alta ‘904’ Rioja Gran Reserva 2011/15,"Back in 1890, five Riojan and Basque families came together to form a collective winery. They grew further in the early 1900s, creating the landmark '904' Gran Reserva to celebrate the event. La Rioja Alta is now one of the most-respected names in Rioja. And they’re still making that wine today. It's crafted mostly from Tempranillo and aged for four years in barrel and even longer in the bottle. This patience, and the resulting high quality, makes it suitable for long ageing. It has complex aromas of blackberry jam, raspberries, cedar and cigar box, with liquorice and clove flavours. Thanks to its maturity, it’s perfect for roasted meats.",£74.99 per bottle,75CL,Tempranillo,Graciano,Natural Cork,Spain,10.9,"Black Fruit, Cigar Box, Red Fruit, Spice, Vanilla",per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2011,Rioja
"Lâchez-Vous Grenache-Syrah 2019/20, France","Cutting through the red tape of French wine laws, this is a modern blend of the very best parcels of Grenache and Syrah from across France. Lâchez-Vous, or ‘Cut Loose’, is an homage to the rebellious free-spirited winemaking of the Languedoc. A wine for those not afraid to challenge the status quo. It’s full of ripe and juicy dark raspberry, strawberry and sweet spice. Try this with a hearty beef stew.",£9.99 per bottle,75CL,Grenache,Syrah,Screwcap,France,10.5,"Sweet Spice, Raspberry, Strawberry",per bottle,Red,ABV 14.00%,Languedoc-Roussillon,Smooth & Mellow,2020,
Lanson Le Green Label Organic Brut,"Founded in 1760, Lanson is one of oldest and most respected houses in Champagne. This is its first ever entirely organic Champagne. Predominantly Pinot Noir, aged on lees for three years, it's pure and fresh with fine notes of citrus and berry fruits weaving through its complex mousse.",£49.99 per bottle,75CL,Pinot Noir,"Pinot Meunier, Chardonnay",Natural Cork,France,9.4,"Pear, Bread, Green Apple",per bottle,White,ABV 12.50%,,Rich & Toasty,NV,
Lanson Le Vintage 2009,"With a blend of 51% Pinot Noir and 49% Chardonnay this wine has a nose of dried fig, apricot and pear mixed with biscuit undertones. The palate shows fullness and a lively finish.",£49.99 per bottle,75CL,Pinot Noir,Chardonnay,Natural Cork,France,9.4,"Green Apple, Biscuit, Bread, Citrus Fruit",per bottle,White,ABV 12.50%,,Rich & Toasty,2009,
"Lapostolle 'Cuvée Alexandre' Chardonnay 2019, Casablanca Valley","Lapostolle is one of Chile's finest wineries. They make this vibrant Chardonnay with grapes from Casablanca Valley – a region famed for producing elegant and complex white wines. To dial up the flavour even more, they ferment and mature part of the wine in French oak barrels. It’s a meeting of New World fruit and Old World techniques – and with a 93-point score from renowned critic James Suckling, it’s not to be missed. Expect notes of apple, pear, citrus and tropical fruits, with hints of herbs and lush vanilla. Its rounded texture makes it a perfect match for fish and seafood dishes.",£19.99 per bottle,75CL,Chardonnay,,Natural Cork,Chile,10.9,"Bread, Butter, Green Apple, Honey, Peach, Vanilla",per bottle,White,ABV 14.50%,Aconcagua,Rich & Toasty,2019,Casablanca Valley
"Las Maletas Malbec 2022/23, Mendoza","Love smooth, ripe, fruity reds? You can’t miss this delicious Malbec – we’re lucky enough to have secured it as a Majestic exclusive. It’s from Mendoza, Malbec’s heartland. Some of the vines are more than fifty years old – it’s the perfect microclimate for ripening really concentrated grapes. This is a really juicy and moreish wine, with a plush, velvety texture. Discover cherry, plum and blueberry notes with subtle vanilla spice. We think there’s nothing better with a juicy beef burger.",£8.99 per bottle,75CL,Malbec,,Natural Cork,Argentina,10.1,"Violet, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 13.50%,Mendoza,Soft & Fruity,2022,
Laurent-Perrier La Cuvée Champagne Magnum,"Laurent Perrier La Cuvee NV Champagne Magnum 150cl is Laurent-Perrier's signature champagne, so called as it is crafted using the purest grape juice obtained during the gentle first pressing. La Cuvée defines the House style and serves as an ideal introduction to our wines with its characteristic lightness, freshness and elegance.",£100.00 per bottle,1.5LTR,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,France,18,"Green Apple, Biscuit, Bread, Citrus Fruit",per bottle,White,ABV 12.00%,,Crisp & Fruity,NV,
"LB7 Red 2018/20 Magnum, Lisbon","Portuguese red blends are rich, packed with juicy fruit flavours and great value. Not to mention, they're a bit out of the ordinary. None of your bog-standard red grapes here - we look for a blend of exotic Portuguese natives to give you something exciting. This one is made by one of Portugal's most awarded winemakers. Expect brambly fruit and a kick of spice. Put this magnum centrepiece when serving casserole.",£16.99 per bottle,1.5LTR,Castelão ,"Touriga Nacional, Tinta Roriz",Natural Cork,Portugal,20.3,"Spice, Black Fruit, Black Plum, Blackberry",per bottle,Red,ABV 13.50%,Lisboa,Rich & Juicy,2020,
"Le Cellier des Papes Châteauneuf-du-Pape 2020, Half Bottle","Le Cellier de Papes used to be just 2 hectares of Grenache. But in 1963, Alain Grangeon saw the exceptional potential of the estate's soils and planted Syrah and Mourvèdre vines. As a result, this blend has gone from strength to strength since. It's now made by his son, Baptiste Grangeon, who is widely celebrated as one of the finest winemakers in Châteauneuf-du-Pape. Expect intense notes of blackberries, leather, red fruit, liquorice, chocolate and spices. Try it with steak and blue cheese.",£11.99 per bottle,37.5CL,Grenache,"Mourvèdre, Syrah",Natural Cork,France,5.4,"Blackberry, Chocolate, Leather, Liquorice, Red Fruit",per bottle,Red,ABV 14.50%,Rhône,Bold & Spicy,2020,Châteauneuf-Du-Pape
Le Difese Tenuta San Guido 2020/21,"""This 70-30 blend of Cabernet Sauvignon and Sangiovese would indeed pair perfectly with game dishes such as fettuccine in rabbit sauce or wild boar sausage thanks to that extra touch of acidity that cuts through any fattiness. Dried cherry, blackberry, leather and tobacco enhance the wine's medium build and silky texture. There is a distant touch of overripe fruit at the very beginning. Le Difese is aged for 12 months in both French and American oak. Anticipated maturity: 2013-2018"". 89 points. Monica Larner, The Wine Advocate.",£27.99 per bottle,75CL,Cabernet Sauvignon,Sangiovese,Natural Cork,Italy,10.5,"Vanilla, Black Cherry, Cedar, Earth, Tobacco",per bottle,Red,ABV 14.00%,Tuscany,Savoury & Full Bodied,2020,Bolgheri
Léon Perdigal Châteauneuf-du-Pape 2020 Magnum,"Léon Perdigal was the first cellarmaster at Ogier when it was founded in 1859. He was widely respected as a master in oak-ageing and was even nicknamed Le Pape des Clés, “The Pope of the Keys”. This is a fitting tribute to the man. It's made by Rhône expert Armelle Barbanson predominantly from Grenache grapes. Expect intense notes of red fruits, liquorice, pepper and thyme. Try it with red meat or mature cheeses.",£49.99 per bottle,1.5LTR,Grenache,"Cinsault, Mourvèdre, Syrah",Natural Cork,France,21.8,"Black Plum, Dried Herbs, Red Fruit",per bottle,Red,ABV 14.50%,Rhône,Bold & Spicy,2020,Châteauneuf-Du-Pape
Les Grandes Serres 'La Pigna' Châteauneuf-du-Pape 2020,"In the early 1920s, Châteauneuf-du-Pape was awash with substandard wines. So, the region decided to introduce some controls – specifying grape varieties and growing guidelines – which would guarantee consistent quality. It worked so well it inspired the whole French appellation contrôlée system – proof that pushing the bounds of convention can give great rewards. That’s Les Grandes Serres’ ethos. They keep their yields even lower, and harvest even later than is standard in Châteauneuf, determined to make their wines better and better. This wine is a case in point. It’s intensely concentrated, with a really plush texture. Rich aromas jump out of the glass. Black cherry. Plum. Black pepper. And supple tannins from oak ageing. And its woody-herb flavours make it sublime with lamb chops.",£27.99 per bottle,75CL,Grenache,Syrah,Natural Cork,France,10.9,"Spice, Black Plum, Blackberry, Earth, Raspberry",per bottle,Red,ABV 14.50%,Rhône,Bold & Spicy,2020,Châteauneuf-Du-Pape
"Lopez de Haro Rosé 2020/21, Rioja","The land that Lopez de Haro calls home has been used to make wine for 2,000 years. It's no wonder, as their vineyards are perfectly positioned to get the best out of the hot Riojan sun. This Rioja Rosado is a blend of Garnacha and Viura with a silky, moreish flavour. It's packed full of hints of red fruit, banana, and flowers. We can't think of a better wine to serve with lamb.",£10.99 per bottle,75CL,Viura,Garnacha,Natural Cork,Spain,9.8,"Strawberry, Peach, Raspberry",per bottle,Rosé,ABV 13.00%,Rioja And Navarra,Ripe & Fruity,2021,Rioja
Lopez de Heredia 'Viña Tondonia' Rioja Reserva 2010/11,"This is a blend of estate-grown grapes aged for six years in oak. It has aromas of vanilla and dried fruit, flavours of rich red fruit, fine tannins and a long finish. Decant for an hour and serve at room temperature with garlic-rubbed lamb or cellar for a decade.",£35.99 per bottle,75CL,Tempranillo,"Mazuelo, Graciano, Grenache",Natural Cork,Spain,9.8,"Vanilla, Black Fruit, Red Fruit, Spice",per bottle,Red,ABV 13.00%,Rioja And Navarra,Savoury & Full Bodied,2010,Rioja
Louis Jadot Bourgogne Pinot Noir 'Les Pierres Rouges' 2020/21,"Maison Louis Jadot has been making wine in Burgundy since before 1859. With an unwavering dedication to quality, winemaker Jacques Lardière aims for excellence with all his wines. Displaying subtle hints of red fruit and violets on the nose, with a well rounded palate of cherry and raspberry fruit with a rounded texture. Gently tannic and with good length. Drinking superbly on its own, also try this with small game.",£17.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,9.8,"Strawberry, Cranberry, Red Cherry",per bottle,Red,ABV 13.00%,Burgundy,Light & Elegant,2021,
Louis Jadot 'Clos du Cromin' Meursault 2018/20,"There's a reason that Louis Jadot wines are firm favourites among Majestic customers. Louis Jadot is one of the biggest names in Burgundy – a name you can depend on for consistently well made, delicious wines. Winemaker Frédéric Barnier built a reputation for elegant white wines working at the prestigious Château de Chassagne-Montrachet. You can taste his skill in this Meursault. All the grapes behind it are picked from the protected Clos du Cromin climat and spend a generous 16 months in oak barrels. The result is classically ripe, rich and toasty, with notes of stone fruits, cream, hazelnut and honey. Match the indulgent flavours with soft French cheeses.",£58.99 per bottle,75CL,Chardonnay,,Natural Cork,France,9.8,"Butter, Cream, Hazelnut, Honey, Stone Fruit",per bottle,White,ABV 13.00%,Burgundy,Rich & Toasty,2020,Meursault
Louis Latour 'Domaine Latour' Aloxe-Corton 2017,"Louis Latour is one of Burgundy's most respected names. This historical producer started off as vine growers in the village of Aloxe-Corton in the 1760s. This Pinot Noir hails from where it all began, and you can expect remarkable things. It’s made following long-established traditions to an exacting standard. Each grape is handpicked to make sure only the finest make it into production, and the wine is carefully oak-aged in home-made barrels for up to 12 months. It has vibrant flavours of strawberry, raspberry and red cherry, with hints of nutmeg and spice. Partner with a traditional Coq au Vin.",£56.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,10.1,"Nutmeg, Raspberry, Red Cherry, Spice, Strawberry",per bottle,Red,ABV 13.50%,Burgundy,Light & Elegant,2017,Aloxe-Corton
Louis Latour Mâcon-Lugny 2020 Magnum,"We’ve sold the original Louis Latour Mâcon-Lugny for over 30 years – and for that whole time it’s been a bestseller. And now, we’re proud to showcase it in Magnum form. Why’s it so popular? White Burgundy is a go-to for Chardonnay drinkers, and the Mâconnais in particular offers great value. Unlike the northern Côtes, the southern part of Burgundy doesn’t have a formalised vineyard hierarchy system, so the wines tend to be a bit more wallet-friendly. Not to mention, Lugny is one of the best regarded villages in the Mâcon, and Latour is one of the most famous houses. Honeyed. Peachy. Crisp. A dream with salty finger foods – or a classic Sunday roast chicken. It’s proof that sometimes it pays to stick with the old favourites.",£29.99 per bottle,1.5LTR,Chardonnay,,Natural Cork,France,19.5,"Apricot, Floral, Lemon, Peach",per bottle,White,ABV 13.00%,Burgundy,Ripe & Rounded,2020,Macon
"Louis Martini Cabernet Sauvignon 2017/18, Napa Valley","Louis Martini left Italy for America with one vision: to create the world's greatest wines. He had a key idea that the best grapes made the best wines. So, naturally, he ended up in Napa Valley. His was one of the first five wineries built in Napa after the repeal of Prohibition. And today, it's the go-to for lovers of 'Napa Cab' in the know. This is a savoury and full-bodied wine, with flavours of black plum, blackcurrant and vanilla that are great with red meat and rosemary potatoes. Leading US wine critic James Suckling gave it a 92-point score.",£36.99 per bottle,75CL,Cabernet Sauvignon,,Natural Cork,USA,11.3,"Black Plum, Blackcurrant, Vanilla",per bottle,Red,ABV 15.00%,California,Savoury & Full Bodied,2018,Napa Valley
Louis Roederer 2013/14 Champagne,"Louis Roederer's 2013 vintage was one of the best on record. After a cool, late spring, the summer months truly dazzled, filling grapes with delicious juice. It was a no-brainer for them to make their signature vintage Champagne that year. It's a blend of Pinot Noir and Chardonnay, showing all of the elegant notes of citrus, flowers, pears and spice.",£69.99 per bottle,75CL,Pinot Noir,Chardonnay,Natural Cork,France,9,"Citrus Fruit, Almond, Bread, Caramel, Chocolate",per bottle,White,ABV 12.00%,,Rich & Toasty,2014,
Louis Roederer 'Cristal' Champagne 2012,"Cristal Champagne was first designed upon request of Tsar Alexander II. Fearful of an assassination attempt, he requested that his Champagne was served in clear bottle. And an icon was born. This is made from low-yielding Pinot Noir and Chardonnay vines and aged for six years on texture-building lees. It's complex, lively and powerful, with a concentrated, long finish and great balance. Serve with buttery chicken. William Kelley gave it a 97+ Parker Point score.",£240.00 per bottle,75CL,Chardonnay,Pinot Noir,Natural Cork,France,9,"Wet Stones, Citrus Fruit, Green Apple, Peach",per bottle,White,ABV 12.00%,,Rich & Toasty,2012,
"Louis Roederer Quartet, California","From Champagne house Louis Roederer's excellent Californian operation in the Anderson Valley. Reserve vintage wines are added to the Quartet, making it a multi-vintage cuvée in the traditional Roederer style. Crisp and elegant with complex pear, spice and hazelnut flavours. Fresh and lightly fruity with great finesse and depth of flavour. A brilliant apéritif, or try alongside lobster.",£29.99 per bottle,75CL,Chardonnay,Pinot Noir,Natural Cork,USA,9.4,"Spice, Hazelnut, Pear",per bottle,White,ABV 12.50%,,Rich & Toasty,NV,
Louis Soufflot Chablis 2018,"Maison Louis Soufflot was founded in the 19th century. The winery has a reputation throughout France for producing elegant Burgundy wines. If you like Chablis with plenty of flavour, you're in luck. This is made from vines with an average age of 40 years old – and old vines nourish the tastiest grapes.  The wine is also aged on its lees, which bring a delicious texture and complexity. Expect aromas of white flowers, ripe citrus flavours, refreshing minerality and a bright finish. Try it with shellfish or roast chicken.",£24.99 per bottle,75CL,Chardonnay,,Natural Cork,France,9.4,"Cream, Green Apple, Lemon, Wet Stones",per bottle,White,ABV 12.50%,Burgundy,Fresh & Elegant ,2018,Chablis
"Louis Violland Mercurey 2020/21, Burgundy","The Côte Chalonnaise was once referred to as the 'Région de Mercurey', which shows how important this famous village is. Aged for 8 months in oak barrels, this is a classical expression of Mercurey. A refined and luscious Pinot Noir, this has bright red berry flavours, hints of earthy minerality and fine-grained tannins.",£25.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,10.5,"Sweet Spice, Earth, Red Cherry, Strawberry",per bottle,Red,ABV 14.00%,Burgundy,Light & Elegant,2020,Mercurey
